community_id,community_name,community_aliases,community_type,local_govt_council,ward,land_council,electorate,ntg_region,population_count,population_source,latitude,longitude,bushtel_url
177,WANGKARI,No aliases recorded with NTG DIPL,Family Outstation,MACDONNELL,IYARRKA,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,,Not recorded,-25.13169,129.01933,https://bushtel.nt.gov.au/profile/177
178,WANMARRA,BAGOT SPRINGS,Family Outstation,MACDONNELL,LJIRAPINTA,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,14,Homelands Service Provider Report 2023,-24.38841,131.80347,https://bushtel.nt.gov.au/profile/178
652,WANMARRI,"WANMARI,WANMURRI",Family Outstation,ROPER GULF,YUGUL MANGI,NORTHERN LAND COUNCIL,ARNHEM,BIG RIVERS,,Not recorded,-14.45401,135.22691,https://bushtel.nt.gov.au/profile/652
19471,WARBY,No aliases recorded with NTG DIPL,Family Outstation,ROPER GULF,SOUTH WEST GULF,NORTHERN LAND COUNCIL,BARKLY,BIG RIVERS,,Not recorded,-16.1531,136.7344,https://bushtel.nt.gov.au/profile/19471
998,WARLPEYANGKRERE,TARLTON DOWNS,Family Outstation,CENTRAL DESERT,AKITYARRE,CENTRAL LAND COUNCIL,NAMATJIRA,CENTRAL AUSTRALIA,,Not recorded,-22.54894,136.99175,https://bushtel.nt.gov.au/profile/998
179,WARREN CREEK,No aliases recorded with NTG DIPL,Family Outstation,MACDONNELL,LURITJA PINTUBI,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,6,Homelands Service Provider Report 2023,-23.26572,131.17868,https://bushtel.nt.gov.au/profile/179
180,WARUMPI,"3 MILE,3 MILE BORE,3 MILES,THREE MILE,THREE MILE BORE,THREE MILES",Family Outstation,MACDONNELL,LURITJA PINTUBI,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,6,Homelands Service Provider Report 2023,-23.1851,131.97514,https://bushtel.nt.gov.au/profile/180
877,WATARU,No aliases recorded with NTG DIPL,Family Outstation,MACDONNELL,IYARRKA,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,7,Homelands Service Provider Report 2023,-24.85858,129.05936,https://bushtel.nt.gov.au/profile/877
889,WATDAGAWUY,GANAWA,Family Outstation,EAST ARNHEM,GUMURR MARTHAKAL,NORTHERN LAND COUNCIL,MULKA,EAST ARNHEM,,Not recorded,-11.93961,135.70074,https://bushtel.nt.gov.au/profile/889
385,WAUK,"ARRDUKBUKBUN,MUNGULGAN,MURGENELLA",Family Outstation,WEST ARNHEM,BARRAH,NORTHERN LAND COUNCIL,ARAFURA,TOP END,,Not recorded,-11.54863,132.92501,https://bushtel.nt.gov.au/profile/385
